"Date","Price","Open","High","Low","daily_volume","Change %"
"Jun 15, 2022","1,112.95","1,208.82","1,226.97","1,016.99","2.91M","-8.08%"
"Jun 14, 2022","1,210.84","1,206.67","1,261.39","1,078.11","3.27M","0.35%"
"Jun 13, 2022","1,206.67","1,434.43","1,454.07","1,168.68","4.39M","-15.94%"
"Jun 12, 2022","1,435.46","1,531.50","1,542.01","1,430.93","1.82M","-6.27%"
"Jun 11, 2022","1,531.42","1,663.04","1,681.58","1,503.15","1.44M","-7.91%"
"Jun 10, 2022","1,663.02","1,788.15","1,803.54","1,657.30","1.13M","-6.99%"
"Jun 09, 2022","1,788.06","1,792.81","1,832.70","1,778.00","625.76K","-0.28%"
"Jun 08, 2022","1,793.00","1,813.05","1,837.41","1,766.94","1.09M","-1.14%"
"Jun 07, 2022","1,813.72","1,859.99","1,870.99","1,727.77","1.64M","-2.49%"
"Jun 06, 2022","1,859.99","1,806.11","1,919.40","1,804.77","939.37K","2.95%"
"Jun 05, 2022","1,806.71","1,804.60","1,829.25","1,773.65","437.73K","0.13%"
"Jun 04, 2022","1,804.37","1,775.28","1,815.19","1,748.89","442.10K","1.64%"
"Jun 03, 2022","1,775.29","1,834.66","1,843.31","1,740.83","884.53K","-3.24%"
"Jun 02, 2022","1,834.64","1,817.98","1,851.25","1,784.23","975.53K","0.91%"
"Jun 01, 2022","1,818.07","1,941.81","1,971.22","1,770.85","1.29M","-6.37%"
"May 31, 2022","1,941.79","1,998.46","2,015.02","1,928.93","933.24K","-2.84%"
"May 30, 2022","1,998.46","1,813.56","2,009.95","1,804.33","1.04M","10.20%"
"May 29, 2022","1,813.56","1,792.25","1,824.81","1,764.72","554.58K","1.16%"
"May 28, 2022","1,792.68","1,724.67","1,807.79","1,722.88","658.23K","3.97%"
"May 27, 2022","1,724.30","1,793.19","1,820.82","1,708.62","1.57M","-3.85%"
"May 26, 2022","1,793.42","1,942.89","1,964.91","1,744.12","1.42M","-7.69%"
"May 25, 2022","1,942.91","1,979.40","2,020.64","1,937.52","639.93K","-1.84%"
"May 24, 2022","1,979.35","1,973.01","1,992.60","1,914.48","620.41K","0.33%"
"May 23, 2022","1,972.93","2,043.19","2,086.21","1,959.57","738.09K","-3.44%"
"May 22, 2022","2,043.19","1,975.12","2,055.15","1,966.34","425.98K","3.45%"
"May 21, 2022","1,975.12","1,959.79","1,989.44","1,940.59","292.47K","0.78%"
"May 20, 2022","1,959.85","2,019.36","2,061.08","1,923.86","699.69K","-2.95%"
"May 19, 2022","2,019.34","1,913.99","2,039.71","1,903.67","858.97K","5.61%"
"May 18, 2022","1,912.12","2,091.05","2,108.84","1,909.56","751.82K","-8.56%"
"May 17, 2022","2,091.14","2,023.00","2,120.03","2,008.84","736.63K","3.37%"
"May 16, 2022","2,022.93","2,145.86","2,145.86","1,979.93","950.85K","-5.73%"
"May 15, 2022","2,145.86","2,056.33","2,161.78","2,001.74","589.77K","4.36%"